model_name,model_family,hf_model_id,method,epoch,train_loss,train_accuracy,val_macro_f1,val_accuracy
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,7,0.12148264050483704,1.0,0.7111111111111111,0.7692307692307693
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,8,0.11066564172506332,1.0,0.7111111111111111,0.7692307692307693
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,9,0.0897916927933693,1.0,0.7111111111111111,0.7692307692307693
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,10,0.07976676523685455,1.0,0.7111111111111111,0.7692307692307693
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,11,0.06912672519683838,1.0,0.7111111111111111,0.7692307692307693
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,12,0.055392682552337646,1.0,0.7111111111111111,0.7692307692307693
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,13,0.05109965056180954,1.0,0.7111111111111111,0.7692307692307693
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,14,0.03726782277226448,1.0,0.7727272727272728,0.8461538461538461
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,15,0.03461451455950737,1.0,0.7727272727272728,0.8461538461538461
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,16,0.035384975373744965,1.0,0.7727272727272728,0.8461538461538461
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,17,0.025670191273093224,1.0,0.7727272727272728,0.8461538461538461
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,18,0.02728225290775299,1.0,0.7727272727272728,0.8461538461538461
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,19,0.02165902405977249,1.0,0.7727272727272728,0.8461538461538461
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,20,0.02288956753909588,1.0,0.7727272727272728,0.8461538461538461
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,21,0.01992574706673622,1.0,0.7727272727272728,0.8461538461538461
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,22,0.016264600679278374,1.0,0.7727272727272728,0.8461538461538461
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,23,0.014033770188689232,1.0,0.7727272727272728,0.8461538461538461
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,24,0.015121550299227238,1.0,0.7727272727272728,0.8461538461538461
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,25,0.011819346807897091,1.0,0.7727272727272728,0.8461538461538461
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,26,0.013929001055657864,1.0,0.7727272727272728,0.8461538461538461
