model,family,scope,method,label,x,y
convnext_tiny_emotion,cnn,all,single_frame,negative,0.2222,0.5000
convnext_tiny_emotion,cnn,all,single_frame,negative,0.2222,0.5455
convnext_tiny_emotion,cnn,all,single_frame,negative,0.1852,0.5000
convnext_tiny_emotion,cnn,all,single_frame,negative,0.1852,0.5556
convnext_tiny_emotion,cnn,all,single_frame,negative,0.1481,0.5000
convnext_tiny_emotion,cnn,all,single_frame,negative,0.1111,0.4286
convnext_tiny_emotion,cnn,all,single_frame,negative,0.1111,0.5000
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0741,0.4000
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0370,0.2500
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0370,0.3333
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0000,0.0000
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0000,0.0000
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0000,1.0000
convnext_tiny_emotion,cnn,all,single_frame,neutral,1.0000,0.5100
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.9804,0.5051
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.9804,0.5102
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.9804,0.5155
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.9804,0.5208
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.9608,0.5158
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.9608,0.5213
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.9608,0.5269
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.9608,0.5326
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.9608,0.5385
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.9608,0.5444
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.9608,0.5506
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.9608,0.5568
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.9608,0.5632
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.9412,0.5581
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.9412,0.5647
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.9412,0.5714
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.9216,0.5663
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.9216,0.5732
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.9020,0.5679
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.9020,0.5750
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.8824,0.5696
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.8824,0.5769
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.8824,0.5844
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.8627,0.5789
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.8627,0.5867
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.8431,0.5811
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.8235,0.5753
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.8235,0.5833
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.8235,0.5915
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.8235,0.6000
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.8235,0.6087
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.8039,0.6029
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.8039,0.6119
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.8039,0.6212
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7843,0.6154
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7843,0.6250
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7647,0.6190
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7647,0.6290
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7647,0.6393
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7647,0.6500
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7451,0.6441
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7451,0.6552
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7255,0.6491
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7255,0.6607
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7255,0.6727
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7059,0.6667
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7059,0.6792
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7059,0.6923
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7059,0.7059
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6863,0.7000
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6863,0.7143
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6863,0.7292
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6863,0.7447
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6863,0.7609
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6863,0.7778
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6667,0.7727
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6667,0.7907
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6667,0.8095
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6471,0.8049
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6471,0.8250
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6275,0.8205
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6078,0.8158
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.5882,0.8108
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.5882,0.8333
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.5882,0.8571
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.5686,0.8529
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.5490,0.8485
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.5294,0.8438
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.5098,0.8387
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.4902,0.8333
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.4706,0.8276
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.4510,0.8214
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.4314,0.8148
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.4118,0.8077
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.4118,0.8400
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.3922,0.8333
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.3922,0.8696
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.3725,0.8636
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.3529,0.8571
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.3529,0.9000
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.3333,0.8947
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.3137,0.8889
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.2941,0.8824
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.2745,0.8750
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.2745,0.9333
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.2745,1.0000
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.2549,1.0000
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.2353,1.0000
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.2157,1.0000
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.1961,1.0000
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.1765,1.0000
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.1569,1.0000
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.1373,1.0000
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.1176,1.0000
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.0980,1.0000
